route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
3,73052,7227583,Presidio + California,1,302,141033,
3,73054,7227801,Presidio + California,1,302,141033,
3,73053,7227697,Presidio + California,1,302,141033,
3,73052,7227584,Presidio + California,1,308,141033,
3,73052,7227585,Presidio + California,1,303,141033,
3,73054,7227802,Presidio + California,1,303,141033,
3,73053,7227698,Presidio + California,1,303,141033,
3,73052,7227586,Presidio + California,1,304,141033,
3,73053,7227699,Presidio + California,1,304,141033,
3,73054,7227803,Presidio + California,1,304,141033,
3,73052,7227587,Presidio + California,1,306,141033,
3,73053,7227700,Presidio + California,1,301,141033,
3,73054,7227804,Presidio + California,1,301,141033,
3,73052,7227588,Presidio + California,1,307,141033,
3,73054,7227805,Presidio + California,1,302,141033,
3,73053,7227701,Presidio + California,1,302,141033,
3,73052,7227589,Presidio + California,1,309,141033,
3,73052,7227590,Presidio + California,1,303,141033,
3,73054,7227806,Presidio + California,1,303,141033,
3,73053,7227702,Presidio + California,1,303,141033,
3,73052,7227591,Presidio + California,1,304,141033,
3,73054,7227807,Presidio + California,1,304,141033,
3,73053,7227703,Presidio + California,1,304,141033,
3,73052,7227592,Presidio + California,1,306,141033,
3,73053,7227704,Presidio + California,1,301,141033,
3,73054,7227808,Presidio + California,1,301,141033,
3,73052,7227593,Presidio + California,1,309,141033,
3,73054,7227809,Presidio + California,1,302,141033,
3,73053,7227705,Presidio + California,1,302,141033,
3,73052,7227594,Presidio + California,1,303,141033,
3,73054,7227810,Presidio + California,1,303,141033,
3,73053,7227706,Presidio + California,1,303,141033,
3,73052,7227595,Presidio + California,1,304,141033,
3,73053,7227707,Presidio + California,1,304,141033,
3,73054,7227811,Presidio + California,1,304,141033,
3,73052,7227596,Presidio + California,1,306,141033,
3,73053,7227708,Presidio + California,1,301,141033,
3,73054,7227812,Presidio + California,1,301,141033,
3,73052,7227597,Presidio + California,1,309,141033,
3,73054,7227813,Presidio + California,1,302,141033,
3,73053,7227709,Presidio + California,1,302,141033,
3,73052,7227598,Presidio + California,1,303,141033,
3,73054,7227814,Presidio + California,1,303,141033,
3,73053,7227710,Presidio + California,1,303,141033,
3,73052,7227599,Presidio + California,1,304,141033,
3,73053,7227711,Presidio + California,1,304,141033,
3,73054,7227815,Presidio + California,1,304,141033,
3,73052,7227600,Presidio + California,1,306,141033,
3,73053,7227712,Presidio + California,1,301,141033,
3,73054,7227816,Presidio + California,1,301,141033,
3,73052,7227601,Presidio + California,1,309,141033,
3,73053,7227713,Presidio + California,1,302,141033,
3,73054,7227817,Presidio + California,1,302,141033,
3,73052,7227602,Presidio + California,1,303,141033,
3,73053,7227714,Presidio + California,1,303,141033,
3,73054,7227818,Presidio + California,1,303,141033,
3,73052,7227603,Presidio + California,1,304,141033,
3,73053,7227715,Presidio + California,1,304,141033,
3,73054,7227819,Presidio + California,1,304,141033,
3,73052,7227604,Presidio + California,1,306,141033,
3,73053,7227716,Presidio + California,1,301,141033,
3,73054,7227820,Presidio + California,1,301,141033,
3,73052,7227605,Presidio + California,1,309,141033,
3,73053,7227717,Presidio + California,1,302,141033,
3,73054,7227821,Presidio + California,1,302,141033,
3,73052,7227606,Presidio + California,1,303,141033,
3,73054,7227822,Presidio + California,1,303,141033,
3,73053,7227718,Presidio + California,1,303,141033,
3,73052,7227607,Presidio + California,1,304,141033,
3,73053,7227719,Presidio + California,1,304,141033,
3,73054,7227823,Presidio + California,1,304,141033,
3,73052,7227608,Presidio + California,1,351,141033,
3,73054,7227824,Presidio + California,1,301,141033,
3,73053,7227720,Presidio + California,1,301,141033,
3,73052,7227609,Presidio + California,1,306,141033,
3,73053,7227721,Presidio + California,1,302,141033,
3,73054,7227825,Presidio + California,1,302,141033,
3,73052,7227610,Presidio + California,1,309,141033,
3,73053,7227722,Presidio + California,1,303,141033,
3,73054,7227826,Presidio + California,1,303,141033,
3,73052,7227611,Presidio + California,1,303,141033,
3,73053,7227723,Presidio + California,1,304,141033,
3,73054,7227827,Presidio + California,1,304,141033,
3,73052,7227612,Presidio + California,1,356,141033,
3,73052,7227613,Presidio + California,1,304,141033,
3,73053,7227724,Presidio + California,1,301,141033,
3,73054,7227828,Presidio + California,1,301,141033,
3,73052,7227614,Presidio + California,1,352,141033,
3,73054,7227829,Presidio + California,1,302,141033,
3,73053,7227725,Presidio + California,1,302,141033,
3,73052,7227615,Presidio + California,1,353,141033,
3,73054,7227830,Presidio + California,1,303,141033,
3,73053,7227726,Presidio + California,1,303,141033,
3,73052,7227616,Presidio + California,1,354,141033,
3,73052,7227617,Presidio + California,1,355,141033,
3,73054,7227831,Presidio + California,1,304,141033,
3,73053,7227727,Presidio + California,1,304,141033,
3,73052,7227618,Presidio + California,1,357,141033,
3,73054,7227832,Presidio + California,1,301,141033,
3,73053,7227728,Presidio + California,1,301,141033,
3,73052,7227634,Presidio + California,1,358,141033,
3,73053,7227729,Presidio + California,1,302,141033,
3,73054,7227833,Presidio + California,1,302,141033,
3,73052,7227619,Presidio + California,1,351,141033,
3,73054,7227834,Presidio + California,1,303,141033,
3,73052,7227620,Presidio + California,1,353,141033,
3,73053,7227730,Presidio + California,1,303,141033,
3,73053,7227731,Presidio + California,1,304,141033,
3,73054,7227835,Presidio + California,1,304,141033,
3,73052,7227621,Presidio + California,1,355,141033,
3,73052,7227622,Presidio + California,1,358,141033,
3,73054,7227836,Presidio + California,1,301,141033,
3,73053,7227732,Presidio + California,1,301,141033,
3,73052,7227623,Presidio + California,1,351,141033,
3,73053,7227733,Presidio + California,1,302,141033,
